Id	BJ5	BJ7	BJ8	BJ9	BJ10	BJ1	BJ2	BJ3	BJ4	BJ6	norm.BJ5	norm.BJ7	norm.BJ8	norm.BJ9	norm.BJ10	norm.BJ1	norm.BJ2	norm.BJ3	norm.BJ4	norm.BJ6	baseMean	M	F	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
ENST00000256644	63	98	90	82	96	51	38	39	59	49	61	102	94	81	107	49	36	36	52	46	66.52	89	44	0.619	-0.692	-4.204	2.61955981253131e-05	0.0111063343106048	0.0248	0.243	0.0544	0.0544	TRUE	0.2672
ENST00000533182	89	135	97	99	105	55	52	53	69	24	87	141	102	98	117	53	49	49	61	23	77.86	109	47	0.589	-0.763	-4.204	2.62481027390981e-05	0.0111063343106048	0.0559	0.2375	0.0851	0.0851	TRUE	0.6682
ENST00000399817	2288	3400	3025	8029	5672	1038	1075	2120	1979	1852	2230	3552	3168	7927	6315	993	1005	1978	1756	1748	3067.23	4638	1496	0.563	-0.829	-4.158	3.2061884622869e-05	0.0127441133514598	0.1796	0.2061	0.1846	0.1846	TRUE	0.1224
ENST00000527663	12	1	17	29	30	2	0	3	2	1	12	1	18	29	33	2	0	3	2	1	10	19	2	0.324	-1.624	-4.135	3.55403974707593e-05	0.0137112762830573	0.6458	0.4564	0.5882	0.5882	TRUE	0.067
ENST00000602569	2062	3002	2809	8312	6129	1380	1439	1861	1813	1672	2010	3136	2941	8206	6824	1320	1346	1736	1609	1579	3070.69	4623	1518	0.575	-0.798	-4.114	3.89069083587511e-05	0.0145811976269068	0.1792	0.2061	0.1828	0.1828	TRUE	0.106
ENST00000589900	537	573	1050	193	522	210	136	170	249	246	523	599	1099	191	581	201	127	159	221	232	393.32	599	188	0.582	-0.782	-4.077	4.5647911527184e-05	0.016182801500056	0.1958	0.2116	0.1985	0.1985	TRUE	0.1882
ENST00000488537	124	103	108	135	145	72	82	87	89	76	121	108	113	133	161	69	77	81	79	72	101.37	127	76	0.701	-0.513	-4.048	5.17332114195524e-05	0.0169646133547567	0.008	0.23	0.0312	0.0312	TRUE	0.2273
ENST00000489673	44	134	95	62	158	29	27	34	55	25	43	140	99	61	176	28	25	32	49	24	67.66	104	32	0.586	-0.771	-4.053	5.05484364489131e-05	0.0169646133547567	0.1873	0.2424	0.1971	0.1971	TRUE	0.0871
ENST00000549924	237	128	90	271	262	88	88	96	82	77	231	134	94	268	292	84	82	90	73	73	141.97	204	80	0.603	-0.729	-4.05	5.13112741714114e-05	0.0169646133547567	0.1062	0.2229	0.1237	0.1237	TRUE	0.0936
ENST00000358239	38	13	38	32	49	9	12	13	12	15	37	14	40	32	55	9	11	12	11	14	23.33	36	11	0.593	-0.755	-4.041	5.32028143954595e-05	0.0170210077176888	0.1002	0.3129	0.141	0.141	TRUE	0.1431
ENST00000312989	14	0	24	18	38	3	1	0	1	1	14	0	25	18	42	3	1	0	1	1	10.45	20	1	0.369	-1.437	-4.01	6.06464034031621e-05	0.0189404493676018	1.0549	0.4456	0.8375	0.8375	TRUE	0.1178
ENST00000397566	10	10	15	15	25	4	4	7	2	1	10	10	16	15	28	4	4	7	2	1	9.54	16	4	0.623	-0.684	-3.89	0.000100282296283917	0.028595714790351	0.1269	0.4686	0.22	0.22	TRUE	0.545
ENST00000500323	29	18	438	366	45	20	23	28	25	26	28	19	459	361	50	19	22	26	22	25	103.06	183	23	0.555	-0.85	-3.892	9.95118521423858e-05	0.028595714790351	0.8387	0.2296	0.6973	0.6973	TRUE	0.0789
ENST00000533400	211	270	147	245	236	164	120	131	144	110	206	282	154	242	263	157	112	122	128	104	176.93	229	125	0.685	-0.546	-3.9	9.63199804032229e-05	0.028595714790351	0.0344	0.2195	0.0551	0.0551	TRUE	0.2336
ENST00000246911	11	52	22	16	10	6	4	4	7	5	11	54	23	16	11	6	4	4	6	5	13.92	23	5	0.627	-0.674	-3.877	0.00010576745476711	0.0289793600213402	0.2606	0.3857	0.2858	0.2858	TRUE	0.9215
ENST00000373818	49	115	63	0	16	6	1	7	5	1	48	120	66	0	18	6	1	7	4	1	27.03	50	4	0.539	-0.892	-3.827	0.000129950078199267	0.0338412896969651	1.3511	0.2982	1.0235	1.0235	TRUE	0.1153
ENST00000403425	61	76	40	223	69	2	22	1	0	22	59	79	42	220	77	2	21	1	0	21	52.19	95	9	0.567	-0.818	-3.819	0.000134157739135639	0.0338412896969651	1.2368	0.2534	0.9143	0.9143	TRUE	1.089
ENST00000423525	28	345	347	114	55	43	31	36	42	45	27	360	363	113	61	41	29	34	37	42	110.83	185	37	0.668	-0.582	-3.774	0.00016089171808543	0.0380564574246569	0.503	0.2279	0.4439	0.4439	TRUE	0.0414
ENST00000588281	48	27	25	19	36	18	13	12	14	10	47	28	26	19	40	17	12	11	12	9	22.24	32	12	0.676	-0.565	-3.727	0.000193597735982111	0.0437831293599544	0.0575	0.3182	0.106	0.106	TRUE	0.1078
ENST00000511181	27	45	25	26	0	5	0	0	0	1	26	47	26	26	0	5	0	0	0	1	13.09	25	1	0.591	-0.759	-3.715	0.000203092660197988	0.0444471960862177	2.1888	0.3971	1.3038	1.3038	TRUE	0.6751
ENST00000524918	19	25	17	8	31	7	3	6	6	9	19	26	18	8	35	7	3	6	5	8	13.38	21	6	0.693	-0.529	-3.715	0.000203311105067703	0.0444471960862177	0.1366	0.393	0.1942	0.1942	TRUE	0.0945
ENST00000399808	6595	10205	7161	3164	5196	3051	2833	2954	4308	3066	6429	10661	7498	3124	5785	2918	2650	2756	3823	2895	4853.86	6699	3008	0.685	-0.547	-3.703	0.000212711822411204	0.0457400159765206	0.0955	0.2058	0.1166	0.1166	TRUE	0.1554
ENST00000549581	42	11	6	29	23	6	4	9	4	5	41	11	6	29	26	6	4	8	4	5	13.91	23	5	0.708	-0.499	-3.682	0.000231412356241321	0.0466990134894985	0.2562	0.3858	0.2845	0.2845	TRUE	0.0831
ENST00000552981	7	100	7	76	59	11	12	7	9	4	7	104	7	75	66	11	11	7	8	4	29.94	52	8	0.69	-0.536	-3.692	0.0002224779924703	0.0466990134894985	0.6561	0.2891	0.5719	0.5719	TRUE	0.0552
ENST00000222008	193	67	461	146	149	80	75	75	62	63	188	70	483	144	166	77	70	70	55	59	138.2	210	66	0.703	-0.508	-3.66	0.000251977580945	0.0476453774927511	0.2432	0.2234	0.2394	0.2394	TRUE	0.7991
ENST00000262428	677	1199	1369	1677	2314	655	735	796	726	617	660	1253	1434	1656	2576	626	687	743	644	583	1086.13	1516	657	0.691	-0.532	-3.664	0.000247980240578831	0.0476453774927511	0.1092	0.2076	0.1292	0.1292	TRUE	0.2078
ENST00000531688	24	51	28	16	29	11	6	13	15	12	23	53	29	16	32	11	6	12	13	11	20.7	31	11	0.697	-0.52	-3.663	0.000249012865294986	0.0476453774927511	0.1083	0.3266	0.1511	0.1511	TRUE	0.3078
ENST00000619432	7	111	7	13	160	0	6	7	0	8	7	116	7	13	178	0	6	7	0	8	34.08	64	4	0.647	-0.629	-3.658	0.000254263659715833	0.0476453774927511	1.8726	0.279	1.33	1.33	TRUE	0.1167
ENST00000444749	36	29	12	19	25	11	12	10	8	8	35	30	13	19	28	11	11	9	7	8	17.03	25	9	0.699	-0.517	-3.646	0.000266578755121639	0.0485654657073685	0	0.3528	0.1178	0.1178	TRUE	0.1185
ENST00000525750	25	33	13	35	53	16	8	12	11	12	24	34	14	35	59	15	7	11	10	11	22.11	33	11	0.706	-0.502	-3.64	0.000272509296636184	0.0489658143010524	0.1359	0.3189	0.1714	0.1714	TRUE	0.2077
