ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
70	"ENSMUSG00000056999"	"Ide"	chr19	-	37267442	37267587	37268068	37268213	37265496	37265607	37273281	37273364	70	23,51	0,0	3,9	9,0	78	78	0.429268855545095	0.621227286939547	1.0,1.0	0.25,1.0	0.375
71	"ENSMUSG00000023307"	"Marchf5"	chr19	+	37188069	37188272	37194581	37194712	37184941	37185303	37197701	37197885	71	17,45	69,126	22,12	58,25	78	78	0.314357513753229	0.510959915697349	0.198,0.263	0.275,0.324	-0.069
72	"ENSMUSG00000034616"	"Ssh3"	chr19	-	4316134	4316200	4316402	4316474	4315837	4316026	4316549	4316665	72	10,5	6,1	17,13	33,12	78	78	0.0392459532830604	0.169189599474805	0.625,0.833	0.34,0.52	0.299
73	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4235350	4235505	4238942	4239053	4234383	4235072	4239211	4239318	73	0,12	13,19	12,55	93,47	78	78	0.118755942915122	0.282779432751873	0.0,0.387	0.114,0.539	-0.133
74	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4237940	4238130	4238244	4238310	4235350	4235505	4238942	4239053	74	12,9	14,0	45,32	77,43	78	78	0.0164491704287708	0.148680231341421	0.462,1.0	0.369,0.427	0.333
75	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4238244	4238310	4238942	4239053	4237940	4238130	4239211	4239318	75	0,12	8,12	13,55	53,56	78	78	0.999202115572178	0.999202115572178	0.0,0.5	0.197,0.495	-0.096
76	"ENSMUSG00000001750"	"Tcirg1"	chr19	-	3946269	3946447	3946603	3946721	3946049	3946192	3946794	3946902	76	859,838	386,501	233,330	125,130	78	78	0.372385137441014	0.56950122254433	0.69,0.626	0.651,0.717	-0.026
77	"ENSMUSG00000001750"	"Tcirg1"	chr19	-	3947467	3947681	3947757	3947876	3947037	3947169	3948547	3948638	77	783,847	858,890	244,301	228,303	78	78	0.160411972389801	0.335635671862064	0.477,0.488	0.517,0.498	-0.025
78	"ENSMUSG00000024750"	"Zfand5"	chr19	+	21254341	21254453	21256988	21257114	21253789	21253949	21257786	21257797	78	251,301	424,412	153,222	352,438	78	78	0.010724358474747	0.143003799299439	0.372,0.422	0.303,0.336	0.078
79	"ENSMUSG00000025041"	"Nt5c2"	chr19	-	46887241	46887333	46892316	46892412	46887060	46887118	46893413	46893531	79	132,144	231,233	298,312	430,325	78	78	0.0890496146545371	0.240447830223738	0.364,0.382	0.409,0.49	-0.077
80	"ENSMUSG00000025041"	"Nt5c2"	chr19	-	46897928	46897987	46912700	46912774	46893413	46893531	46939284	46939404	80	60,106	15,31	239,317	53,29	78	78	0.136826805790062	0.309700821873249	0.8,0.774	0.818,0.916	-0.08
81	"ENSMUSG00000086938"	"4930481A15Rik"	chr19	+	5458792	5458971	5465035	5465127	5456769	5457111	5465634	5465840	81	5,0	6,16	0,0	1,5	78	78	0.246344076666781	0.438661999899193	0.455,0.0	0.0,0.0	0.228
82	"ENSMUSG00000086938"	"4930481A15Rik"	chr19	+	5458792	5458971	5465035	5465140	5456846	5457111	5465634	5465840	82	5,0	12,34	0,0	13,19	78	78	0.0591136474461965	0.196529872321263	0.294,0.0	0.0,0.0	0.147
83	"ENSMUSG00000086938"	"4930481A15Rik"	chr19	+	5458792	5458971	5465039	5465140	5456846	5457111	5465634	5465840	83	5,0	6,18	0,0	12,15	78	78	0.0450872347413103	0.176829686479777	0.455,0.0	0.0,0.0	0.228
87	"ENSMUSG00000024679"	"Ms4a6d"	chr19	-	11565327	11565429	11567353	11567560	11563967	11564545	11570228	11570285	87	164,236	121,210	12,33	20,40	78	78	0.0483678937866497	0.183599233050141	0.575,0.529	0.375,0.452	0.139
88	"ENSMUSG00000024679"	"Ms4a6d"	chr19	-	11565327	11565429	11567353	11567486	11564343	11564545	11570228	11570285	88	4,4	121,210	0,0	20,40	78	78	0.0884459644684612	0.239430901534344	0.032,0.019	0.0,0.0	0.026
89	"ENSMUSG00000025220"	"Oga"	chr19	-	45753888	45754063	45755832	45756446	45749542	45749647	45758489	45758648	89	544,508	201,268	480,494	68,157	78	78	0.0350660622840213	0.162098717251603	0.73,0.655	0.876,0.759	-0.125
90	"ENSMUSG00000025220"	"Oga"	chr19	-	45755832	45756446	45758489	45758648	45753888	45754063	45760120	45760325	90	558,508	541,683	541,617	464,570	78	78	0.0207767529301826	0.152632877356657	0.508,0.427	0.538,0.52	-0.061
91	"ENSMUSG00000025220"	"Oga"	chr19	-	45758489	45758648	45760120	45760405	45755832	45756446	45762100	45762199	91	291,467	544,502	366,302	477,494	78	78	0.822719610149907	0.92399380900218	0.349,0.482	0.434,0.379	0.009
92	"ENSMUSG00000025220"	"Oga"	chr19	-	45760120	45760405	45762100	45762199	45758489	45758648	45764486	45764658	92	302,456	558,512	291,333	540,621	78	78	0.0299461754923614	0.157566499629007	0.351,0.471	0.35,0.349	0.061
93	"ENSMUSG00000024737"	"Slc15a3"	chr19	+	10825868	10826152	10830492	10830640	10819907	10820942	10831617	10831725	93	1169,1155	3004,2211	2653,3409	7560,8368	78	78	0.0512749158684381	0.187719253765444	0.28,0.343	0.26,0.289	0.037
94	"ENSMUSG00000024737"	"Slc15a3"	chr19	+	10832272	10832441	10833251	10833410	10831617	10831725	10834546	10834702	94	1667,1483	983,936	4148,4399	2598,2602	78	78	0.999202115572178	0.999202115572178	0.629,0.613	0.615,0.628	-0.0
95	"ENSMUSG00000034820"	"Cpsf7"	chr19	+	10514162	10514281	10516983	10517152	10512467	10512882	10518044	10518212	95	187,244	170,261	199,193	134,192	78	78	0.213312565300713	0.400509144803471	0.524,0.483	0.598,0.501	-0.046
96	"ENSMUSG00000024661"	"Fth1"	chr19	+	9961544	9961691	9961923	9962049	9959731	9960347	9962144	9962456	96	36289,41531	39679,51651	57342,62741	63083,64786	78	78	0.0555803684515583	0.193078643096408	0.478,0.446	0.476,0.492	-0.022
97	"ENSMUSG00000024661"	"Fth1"	chr19	+	9961616	9961691	9961923	9962049	9960067	9960347	9962144	9962179	97	16,35	39679,51651	22,14	63083,64786	78	78	0.0349016699906892	0.161986733410602	0.0,0.001	0.0,0.0	0.001
98	"ENSMUSG00000048120"	"Entpd1"	chr19	+	40699606	40699734	40708900	40709018	40648936	40649307	40711530	40711541	98	24,10	1187,981	133,126	3968,4217	78	78	0.00233098004295118	0.143003799299439	0.02,0.01	0.032,0.029	-0.015
99	"ENSMUSG00000048120"	"Entpd1"	chr19	+	40715731	40715992	40722110	40722230	40714465	40714702	40725193	40725328	99	969,759	849,785	3159,3774	3291,3619	78	78	0.304890549251406	0.500314732801399	0.533,0.492	0.49,0.51	0.012
100	"ENSMUSG00000024908"	"Ppp6r3"	chr19	-	3568244	3568382	3571733	3571920	3564653	3564719	3576701	3576929	100	93,149	100,206	33,72	71,101	78	78	0.143842712798651	0.316512329073268	0.482,0.42	0.317,0.416	0.084
101	"ENSMUSG00000024908"	"Ppp6r3"	chr19	-	3571733	3571920	3576701	3576929	3568244	3568382	3594107	3594255	101	4,8	83,153	10,0	38,61	78	78	0.736487844522202	0.863511449766139	0.046,0.05	0.208,0.0	-0.056
102	"ENSMUSG00000024908"	"Ppp6r3"	chr19	-	3571733	3571920	3576701	3576934	3568244	3568382	3594107	3594255	102	75,123	83,153	36,61	38,61	78	78	0.366007560914695	0.564478742745217	0.475,0.446	0.486,0.5	-0.032
103	"ENSMUSG00000024908"	"Ppp6r3"	chr19	-	3571733	3571920	3576701	3576934	3568244	3568382	3625640	3625716	103	31,71	80,158	30,52	38,61	78	78	0.012080348024453	0.143003799299439	0.279,0.31	0.441,0.46	-0.156
104	"ENSMUSG00000024908"	"Ppp6r3"	chr19	-	3576701	3576929	3594107	3594255	3571733	3571920	3625640	3625696	104	85,123	96,149	60,62	27,72	78	78	0.250043521668025	0.443244149206481	0.47,0.452	0.69,0.463	-0.116
105	"ENSMUSG00000024769"	"Cdc42bpg"	chr19	+	6366858	6366964	6367190	6367324	6366548	6366608	6367404	6367544	105	51,34	23,37	27,16	30,17	78	78	0.183679036516098	0.366196215986953	0.689,0.479	0.474,0.485	0.104
106	"ENSMUSG00000024772"	"Ehd1"	chr19	+	6331247	6331345	6344243	6344656	6326754	6327408	6347562	6347727	106	800,1568	914,1602	1146,1130	1112,1278	78	78	0.745384006378518	0.868070658419322	0.467,0.495	0.508,0.469	-0.008
107	"ENSMUSG00000024773"	"Atg2a"	chr19	+	6300625	6300785	6301288	6301431	6300442	6300539	6301517	6301633	107	255,182	163,155	394,547	354,469	78	78	0.0422406701332633	0.171634073267994	0.61,0.54	0.527,0.538	0.042
108	"ENSMUSG00000024773"	"Atg2a"	chr19	+	6304619	6304696	6305130	6305295	6304388	6304459	6305438	6305568	108	174,145	143,126	183,381	332,344	78	78	0.181159068271388	0.362528689845621	0.549,0.535	0.355,0.526	0.102
109	"ENSMUSG00000024773"	"Atg2a"	chr19	+	6304619	6304696	6305130	6305301	6304388	6304459	6305438	6305568	109	174,145	36,50	183,381	56,117	78	78	0.474901129651862	0.661656898279248	0.829,0.744	0.766,0.765	0.021
110	"ENSMUSG00000024773"	"Atg2a"	chr19	+	6306197	6306406	6306581	6306717	6305648	6305857	6307468	6307672	110	130,119	101,98	363,391	206,320	78	78	0.348656338600868	0.546657898426368	0.563,0.548	0.638,0.55	-0.039
111	"ENSMUSG00000024778"	"Fas"	chr19	+	34293968	34294077	34295989	34296051	34292578	34292716	34296182	34296236	111	189,299	104,149	263,401	175,195	78	78	0.539400946536781	0.715945153545923	0.645,0.667	0.6,0.673	0.019
112	"ENSMUSG00000024778"	"Fas"	chr19	+	34295989	34296051	34296182	34296236	34293968	34294077	34296709	34296789	112	173,167	109,194	318,253	187,225	78	78	0.155604442916944	0.328321928312174	0.613,0.463	0.63,0.529	-0.041
113	"ENSMUSG00000040451"	"Sgms1"	chr19	-	32134722	32134779	32134865	32135077	32133969	32134047	32136923	32137763	113	5,0	0,3	9,13	37,3	78	78	0.93988957920561	0.999202115572178	1.0,0.0	0.196,0.812	-0.004
114	"ENSMUSG00000038658"	"Ric1"	chr19	+	29561574	29561613	29561866	29561977	29557164	29557368	29563180	29563270	114	16,19	66,52	28,24	39,50	78	78	0.0335219262783333	0.159827975510308	0.195,0.268	0.418,0.324	-0.139
115	"ENSMUSG00000038658"	"Ric1"	chr19	+	29561866	29561977	29563180	29563270	29561574	29561613	29563939	29564100	115	21,55	34,59	60,46	42,87	78	78	0.874292034493416	0.959231165692618	0.382,0.482	0.588,0.346	-0.035
116	"ENSMUSG00000074746"	"Pdzd8"	chr19	-	59303689	59303792	59316182	59316305	59293589	59293752	59333150	59334212	116	125,261	196,235	90,23	79,112	78	78	0.487987048463381	0.672436843013729	0.389,0.526	0.533,0.17	0.106
117	"ENSMUSG00000024927"	"Rela"	chr19	+	5688882	5689031	5689886	5689978	5688578	5688730	5690330	5690462	117	414,539	244,368	441,465	280,296	78	78	0.999202115572178	0.999202115572178	0.629,0.594	0.612,0.611	0.0
118	"ENSMUSG00000024921"	"Smarca2"	chr19	+	26737277	26737331	26748337	26748443	26729223	26729441	26748907	26749009	118	4,12	59,86	31,5	70,64	78	78	0.432891688109662	0.625316809251037	0.063,0.122	0.307,0.072	-0.097
139	"ENSMUSG00000117401"	"4833419F23Rik"	chr18	+	4364875	4365107	4365510	4365659	4354100	4354192	4367858	4368040	139	1,0	3,3	0,0	6,1	78	78	0.229301781387868	0.418669794428762	0.25,0.0	0.0,0.0	0.125
140	"ENSMUSG00000117401"	"4833419F23Rik"	chr18	+	4364875	4365107	4365539	4365659	4354100	4354192	4367858	4368040	140	1,0	3,3	0,0	3,1	78	78	0.345781652350137	0.544425517119858	0.25,0.0	0.0,0.0	0.125
142	"ENSMUSG00000117401"	"4833419F23Rik"	chr18	+	4364875	4365107	4365510	4365659	4362990	4363091	4367858	4368040	142	1,0	3,3	0,0	3,1	78	78	0.345781652350137	0.544425517119858	0.25,0.0	0.0,0.0	0.125
143	"ENSMUSG00000117401"	"4833419F23Rik"	chr18	+	4364875	4365107	4365539	4365659	4362990	4363091	4367858	4368040	143	1,0	3,3	0,0	3,1	78	78	0.345781652350137	0.544425517119858	0.25,0.0	0.0,0.0	0.125
144	"ENSMUSG00000117401"	"4833419F23Rik"	chr18	+	4364879	4365107	4365510	4365659	4354100	4354192	4367858	4368040	144	1,0	3,3	0,0	6,1	78	78	0.229301781387868	0.418669794428762	0.25,0.0	0.0,0.0	0.125
145	"ENSMUSG00000117401"	"4833419F23Rik"	chr18	+	4364879	4365107	4365539	4365659	4354100	4354192	4367858	4368040	145	1,0	3,3	0,0	3,1	78	78	0.345781652350137	0.544425517119858	0.25,0.0	0.0,0.0	0.125
147	"ENSMUSG00000117401"	"4833419F23Rik"	chr18	+	4364879	4365107	4365510	4365659	4362990	4363091	4367858	4368040	147	1,0	3,3	0,0	3,1	78	78	0.345781652350137	0.544425517119858	0.25,0.0	0.0,0.0	0.125
148	"ENSMUSG00000117401"	"4833419F23Rik"	chr18	+	4364879	4365107	4365539	4365659	4362990	4363091	4367858	4368040	148	1,0	3,3	0,0	3,1	78	78	0.345781652350137	0.544425517119858	0.25,0.0	0.0,0.0	0.125
162	"ENSMUSG00000091896"	"Ube2d2a"	chr18	+	35933004	35933268	35934326	35934420	35932893	35932925	35938570	35938749	162	242,319	219,346	207,275	280,286	78	78	0.190715784254397	0.37426229038633	0.525,0.48	0.425,0.49	0.045
163	"ENSMUSG00000091896"	"Ube2d2a"	chr18	+	35933162	35933268	35934326	35934420	35932893	35932925	35938570	35938873	163	0,4	219,346	3,7	280,286	78	78	0.128460810971754	0.298507796004739	0.0,0.011	0.011,0.024	-0.012
164	"ENSMUSG00000033323"	"Ctdp1"	chr18	-	80463657	80463845	80477380	80477543	80451173	80451996	80489100	80489310	164	169,116	61,180	59,99	110,83	78	78	0.530925559024973	0.711043941174247	0.735,0.392	0.349,0.544	0.117
165	"ENSMUSG00000033323"	"Ctdp1"	chr18	-	80477380	80477543	80489100	80489310	80463657	80463845	80490638	80490780	165	136,183	140,129	93,143	93,84	78	78	0.384196864374711	0.581156426172393	0.493,0.587	0.5,0.63	-0.025
166	"ENSMUSG00000037058"	"Paip2"	chr18	+	35743923	35744087	35746375	35746555	35731669	35731812	35749251	35750239	166	141,167	176,145	183,199	274,279	78	78	0.0154613819733753	0.146986444429154	0.445,0.535	0.4,0.416	0.082
167	"ENSMUSG00000036452"	"Arhgap26"	chr18	+	39439754	39439905	39490605	39490716	39429837	39429976	39496169	39496261	167	71,52	28,48	121,135	48,81	78	78	0.364337310055301	0.562904391248543	0.717,0.52	0.716,0.625	-0.052
168	"ENSMUSG00000036452"	"Arhgap26"	chr18	+	39439754	39439905	39490605	39490881	39429837	39429976	39496169	39496261	168	71,52	0,10	121,135	5,6	78	78	0.999202115572178	0.999202115572178	1.0,0.839	0.96,0.957	-0.039
169	"ENSMUSG00000036452"	"Arhgap26"	chr18	+	39490605	39490716	39490790	39490881	39439754	39439905	39496169	39496261	169	77,70	0,0	152,209	5,6	78	78	0.000222874271669227	0.143003799299439	1.0,1.0	0.968,0.972	0.03
170	"ENSMUSG00000024283"	"Wac"	chr18	+	7901495	7901602	7910515	7910824	7871548	7871744	7916051	7916284	170	321,413	297,230	226,255	253,319	78	78	0.0059370323000455	0.143003799299439	0.519,0.642	0.472,0.444	0.123
171	"ENSMUSG00000057440"	"Mpp7"	chr18	-	7379988	7380069	7403185	7403356	7356141	7356235	7439568	7439633	171	28,26	23,14	7,22	16,0	78	78	0.437041072552048	0.628201243174938	0.549,0.65	0.304,1.0	-0.052
172	"ENSMUSG00000024236"	"Svil"	chr18	+	5055979	5056849	5057274	5057439	5048884	5049494	5058124	5058159	172	0,0	3,5	4,0	0,0	78	78	0.0561123613456641	0.193959677752161	0.0,0.0	1.0,NA	-1.0
173	"ENSMUSG00000024236"	"Svil"	chr18	+	5073880	5074004	5082782	5082930	5064470	5064690	5086534	5086624	173	81,77	74,107	100,188	123,267	78	78	0.30534921864191	0.500778496230606	0.523,0.418	0.448,0.413	0.04
174	"ENSMUSG00000024236"	"Svil"	chr18	+	5082782	5082930	5086534	5086624	5073880	5074004	5086709	5086796	174	69,93	75,114	121,197	158,166	78	78	0.569014625171839	0.742761184288692	0.479,0.449	0.434,0.543	-0.025
175	"ENSMUSG00000024236"	"Svil"	chr18	+	5106663	5106871	5108574	5108708	5105765	5105871	5114530	5114686	175	83,111	103,131	193,253	293,246	78	78	0.967587448799543	0.999202115572178	0.446,0.459	0.397,0.507	0.001
176	"ENSMUSG00000024236"	"Svil"	chr18	+	5115977	5116121	5116972	5117097	5114252	5114686	5118099	5118255	176	115,128	122,154	332,363	436,439	78	78	0.0952629583774149	0.248141755593161	0.485,0.454	0.432,0.453	0.027
180	"ENSMUSG00000033016"	"Nfatc1"	chr18	-	80678616	80679291	80693046	80693179	80649419	80651240	80696720	80696776	180	300,466	22,93	56,119	28,19	78	78	0.16872532630337	0.346341448368137	0.932,0.834	0.667,0.862	0.119
181	"ENSMUSG00000033016"	"Nfatc1"	chr18	-	80678905	80679291	80693046	80693179	80649419	80651240	80696720	80696776	181	300,466	54,85	56,119	0,37	78	78	0.343477003064449	0.544008574520075	0.847,0.846	1.0,0.763	-0.035
182	"ENSMUSG00000033016"	"Nfatc1"	chr18	-	80693046	80693179	80696720	80696776	80678616	80679291	80706509	80706650	182	197,216	81,124	24,32	46,51	78	78	0.00376672699313862	0.143003799299439	0.709,0.635	0.343,0.386	0.307
183	"ENSMUSG00000042705"	"Commd10"	chr18	+	47096726	47096837	47100806	47100962	47093482	47093573	47123545	47123656	183	0,7	7,12	1,0	8,6	78	78	0.334476776748065	0.533654387936282	0.0,0.368	0.111,0.0	0.129
184	"ENSMUSG00000024480"	"Ap3s1"	chr18	+	46891069	46891181	46912254	46912326	46887437	46887529	46913727	46913835	184	157,331	228,350	315,257	432,300	78	78	0.639186347927351	0.796856910558837	0.408,0.486	0.422,0.461	0.005
185	"ENSMUSG00000032688"	"Malt1"	chr18	+	65597111	65597186	65597784	65597912	65595806	65595984	65603459	65603609	185	327,431	496,470	108,141	182,303	78	78	0.0306611748115857	0.157566499629007	0.397,0.478	0.372,0.318	0.093
187	"ENSMUSG00000024588"	"Fech"	chr18	-	64597156	64597255	64600798	64600905	64595177	64595285	64603752	64603887	187	16,47	15,18	5,24	0,0	78	78	0.0217109943521812	0.152632877356657	0.516,0.723	1.0,1.0	-0.381
188	"ENSMUSG00000003778"	"Brd8"	chr18	-	34738526	34738741	34739727	34739821	34737883	34737976	34740091	34740544	188	42,91	50,127	32,28	41,32	78	78	0.725980012417359	0.85643417314538	0.457,0.417	0.438,0.467	-0.016
189	"ENSMUSG00000003778"	"Brd8"	chr18	-	34739472	34739519	34739727	34739821	34738526	34738741	34740091	34740544	189	68,130	28,50	49,48	2,9	78	78	0.0712617172760762	0.214083959313596	0.708,0.722	0.961,0.842	-0.186
190	"ENSMUSG00000003778"	"Brd8"	chr18	-	34747800	34747850	34749717	34749787	34747500	34747623	34756507	34756604	190	33,65	47,24	20,15	0,27	78	78	0.442103575164956	0.632564335477171	0.413,0.73	1.0,0.357	-0.107
191	"ENSMUSG00000003778"	"Brd8"	chr18	-	34749717	34749787	34756507	34756604	34747800	34747850	34757590	34757606	191	43,35	54,84	28,8	53,43	78	78	0.0775433834717453	0.223673013529129	0.443,0.294	0.346,0.157	0.117
192	"ENSMUSG00000024590"	"Lmnb1"	chr18	+	56881048	56881168	56882770	56882881	56876282	56876387	56885678	56886496	192	1705,1874	1228,1137	3635,3677	2807,2537	78	78	0.0437337307893726	0.17448198463378	0.581,0.622	0.564,0.592	0.023
211	"ENSMUSG00000034377"	"Tulp4"	chr17	+	6257165	6257332	6263658	6263883	6251974	6252109	6264909	6265144	211	14,18	22,33	4,1	0,0	78	78	0.0308859561860354	0.157566499629007	0.389,0.353	1.0,1.0	-0.629
231	"ENSMUSG00000034116"	"Vav1"	chr17	+	57586356	57586401	57602981	57603098	57586099	57586284	57603551	57603610	231	20,47	1197,1377	0,4	349,427	78	78	0.0517245211481729	0.188370708845289	0.016,0.033	0.0,0.009	0.02
232	"ENSMUSG00000034116"	"Vav1"	chr17	+	57606841	57606941	57608180	57608276	57606100	57606204	57608860	57608929	232	641,976	704,905	184,255	171,351	78	78	0.413141436695913	0.606919906892413	0.477,0.519	0.518,0.421	0.028
233	"ENSMUSG00000034116"	"Vav1"	chr17	+	57612279	57612377	57612458	57612481	57611823	57611925	57612662	57612708	233	577,846	181,221	283,144	27,49	78	62	0.370099459559886	0.567639916678087	0.717,0.753	0.893,0.7	-0.061
234	"ENSMUSG00000034116"	"Vav1"	chr17	+	57616451	57616483	57625627	57625742	57614033	57614099	57631641	57631793	234	208,254	843,1111	89,93	262,348	71	78	0.0826104410853283	0.231369347885124	0.213,0.201	0.272,0.227	-0.042
235	"ENSMUSG00000034116"	"Vav1"	chr17	+	57618783	57618900	57622243	57622331	57616451	57616483	57625627	57625742	235	846,1022	549,708	256,404	283,317	78	78	0.0825509284023375	0.231369347885124	0.606,0.591	0.475,0.56	0.081
236	"ENSMUSG00000034116"	"Vav1"	chr17	+	57618783	57618900	57625627	57625742	57616451	57616483	57631641	57631793	236	847,1019	856,1118	256,393	262,348	78	78	0.14750494646216	0.320024811880042	0.497,0.477	0.494,0.53	-0.025
237	"ENSMUSG00000034116"	"Vav1"	chr17	+	57618783	57618900	57631641	57631793	57616451	57616483	57634650	57634950	237	830,1017	582,845	256,393	248,293	78	78	0.386482137969361	0.583086846100859	0.588,0.546	0.508,0.573	0.026
238	"ENSMUSG00000042625"	"Safb2"	chr17	-	56873878	56874015	56874532	56874624	56873325	56873616	56875894	56876022	238	267,277	221,284	250,272	194,172	78	78	0.0424034977970995	0.171634073267994	0.547,0.494	0.563,0.613	-0.068
239	"ENSMUSG00000042625"	"Safb2"	chr17	-	56873878	56874018	56874532	56874624	56873325	56873616	56875894	56876022	239	267,277	204,227	250,272	171,168	78	78	0.0444245691183746	0.175356984366936	0.567,0.55	0.594,0.618	-0.047
240	"ENSMUSG00000036636"	"Clcn7"	chr17	+	25364542	25364614	25364741	25364807	25363403	25363472	25365290	25365423	240	97,124	79,105	35,65	22,46	78	78	0.230708388423476	0.420073385065033	0.551,0.541	0.614,0.586	-0.054
